timestamp,#job,#traffic,#happythanksgiving,#hawks,#blackfriday
2018-11-23 04:41:10,2221,105,1155,1,408
2018-11-23 04:41:12,2221,106,1155,1,408
2018-11-23 04:41:14,2221,106,1155,1,408
2018-11-23 04:41:16,2221,106,1155,1,408
2018-11-23 04:41:18,2221,106,1155,1,408
2018-11-23 04:41:20,2221,106,1155,1,408
2018-11-23 04:41:22,2221,106,1155,1,408
2018-11-23 04:41:24,2221,106,1155,1,408
2018-11-23 04:41:26,2221,106,1155,1,408
2018-11-23 04:41:28,2221,106,1155,1,408
2018-11-23 04:41:30,2221,106,1155,1,408
2018-11-23 04:41:32,2221,106,1155,1,408
2018-11-23 04:41:34,2221,106,1155,1,408
2018-11-23 04:41:36,2221,106,1155,1,408
2018-11-23 04:41:38,2221,106,1155,1,408
2018-11-23 04:41:40,2221,106,1155,1,408
2018-11-23 04:41:42,2221,106,1155,1,408
2018-11-23 04:41:44,2221,106,1155,1,408
2018-11-23 04:41:46,2221,106,1155,1,408
2018-11-23 04:41:48,2221,106,1155,1,408
2018-11-23 04:41:50,2221,106,1155,1,408
2018-11-23 04:41:52,2221,106,1155,1,408
2018-11-23 04:41:54,2221,106,1155,1,408
2018-11-23 04:41:56,2221,106,1155,1,408
2018-11-23 04:41:58,2221,106,1155,1,408
2018-11-23 04:42:00,2221,106,1155,1,408
2018-11-23 04:42:02,2221,106,1155,1,408
2018-11-23 04:42:04,2221,106,1155,1,408
2018-11-23 04:42:06,2223,106,1155,1,408
2018-11-23 04:42:08,2223,106,1155,1,408
2018-11-23 04:42:10,2223,106,1155,1,408
2018-11-23 04:42:12,2223,106,1155,1,408
2018-11-23 04:42:14,2223,107,1155,1,408
2018-11-23 04:42:16,2224,107,1155,1,408
2018-11-23 04:42:18,2224,107,1155,1,409
2018-11-23 04:42:20,2225,107,1155,1,409
2018-11-23 04:42:22,2225,107,1155,1,409
2018-11-23 04:42:24,2225,107,1155,1,409
2018-11-23 04:42:26,2225,107,1155,1,409
2018-11-23 04:42:28,2225,107,1155,1,409
2018-11-23 04:42:30,2225,107,1155,1,409
2018-11-23 04:42:32,2225,107,1155,1,409
2018-11-23 04:42:34,2225,107,1155,1,409
2018-11-23 04:42:36,2225,107,1155,1,409
2018-11-23 04:42:38,2225,107,1155,1,409
2018-11-23 04:42:40,2225,107,1155,1,409
2018-11-23 04:42:42,2225,107,1155,1,409
2018-11-23 04:42:44,2225,107,1155,1,409
2018-11-23 04:42:46,2225,107,1155,1,409
2018-11-23 04:42:48,2225,107,1155,1,409
2018-11-23 04:42:50,2225,107,1155,1,409
2018-11-23 04:42:52,2225,107,1155,1,409
2018-11-23 04:42:54,2225,107,1155,1,409
2018-11-23 04:42:56,2225,107,1155,1,409
2018-11-23 04:42:58,2225,107,1155,1,409
2018-11-23 04:43:00,2225,107,1155,1,409
2018-11-23 04:43:02,2225,107,1155,1,409
2018-11-23 04:43:04,2225,107,1155,1,409
2018-11-23 04:43:06,2225,107,1155,1,409
2018-11-23 04:43:08,2225,107,1155,1,409
2018-11-23 04:43:10,2225,107,1155,1,409
2018-11-23 04:43:12,2225,107,1155,1,409
2018-11-23 04:43:14,2225,107,1155,1,409
2018-11-23 04:43:16,2225,107,1155,1,409
2018-11-23 04:43:18,2225,107,1155,1,409
2018-11-23 04:43:20,2225,107,1155,1,409
2018-11-23 04:43:22,2225,107,1155,1,409
2018-11-23 04:43:24,2225,107,1155,1,409
