@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
18459,0.052,0.681,0.268,0.9946,positive
53273,0.065,0.772,0.162,0.9211,positive
38848,0.099,0.795,0.106,-0.2789,negative
53442,0.075,0.822,0.103,-0.0249,negative
20144,0.047,0.881,0.072,0.6946,negative
25348,0.104,0.896,0,-0.6771,neutral
23444,0.113,0.739,0.148,0.1154,negative
24038,0,1,0,0,positive
24638,0.075,0.637,0.288,0.9549,positive
53102,0,0.61,0.39,0.9401,positive
5398,0,0.753,0.247,0.9846,positive
3258,0,0.847,0.153,0.8035,positive
30631,0.018,0.727,0.255,0.9746,positive
7072,0.08,0.92,0,-0.68,negative
10130,0.19,0.81,0,-0.792,negative
33108,0.013,0.681,0.305,0.9926,positive
47306,0.174,0.771,0.055,-0.7184,neutral
53865,0.034,0.753,0.212,0.9764,positive
11732,0,0.772,0.228,0.8516,positive
2689,0.057,0.62,0.323,0.9865,positive
58922,0,0.791,0.209,0.9216,positive
62609,0.083,0.688,0.229,0.8176,positive
41721,0,0.766,0.234,0.9523,positive
52313,0.051,0.949,0,-0.34,negative
2741,0.109,0.836,0.055,-0.5538,negative
67573,0.026,0.75,0.224,0.9183,neutral
12342,0,0.912,0.088,0.8904,neutral
4569,0.064,0.822,0.114,0.8326,negative
43710,0,0.664,0.336,0.9906,positive
26305,0,0.608,0.392,0.9381,positive
71615,0.023,0.801,0.177,0.9434,positive
55259,0.165,0.649,0.186,0.3544,positive
29013,0.098,0.865,0.037,-0.743,negative
7889,0.038,0.85,0.112,0.6695,neutral
51176,0.027,0.855,0.118,0.8481,positive
37592,0.101,0.757,0.142,0.547,negative
62073,0.039,0.786,0.175,0.9052,positive
49206,0.076,0.854,0.07,-0.446,neutral
58840,0.01,0.802,0.188,0.9843,positive
9949,0,0.701,0.299,0.8986,positive
46883,0.132,0.733,0.135,0.0541,neutral
9750,0,0.73,0.27,0.8502,positive
58810,0,0.646,0.354,0.9605,positive
28051,0,0.77,0.23,0.9582,positive
41849,0,0.679,0.321,0.8402,positive
36170,0.196,0.67,0.134,-0.7549,negative
60444,0.041,0.705,0.255,0.9685,positive
12765,0.21,0.685,0.105,-0.4464,negative
32032,0.041,0.667,0.292,0.9792,positive
26798,0.072,0.928,0,-0.2714,negative
62089,0.061,0.637,0.302,0.9922,positive
38515,0.085,0.838,0.077,-0.1531,negative
70603,0,0.594,0.406,0.5829,positive
3238,0.016,0.844,0.14,0.9543,positive
13100,0,0.711,0.289,0.9751,positive
217,0,0.652,0.348,0.9766,positive
46682,0.036,0.673,0.291,0.9686,neutral
27764,0.065,0.65,0.285,0.8796,positive
36124,0.058,0.549,0.393,0.9214,positive
21663,0.062,0.822,0.116,0.842,neutral
32075,0.044,0.677,0.279,0.9551,positive
41855,0,0.737,0.263,0.9146,positive
8728,0.093,0.784,0.123,0.7119,neutral
35349,0,0.651,0.349,0.932,positive
26940,0.099,0.768,0.133,0.8263,negative
9039,0.045,0.786,0.169,0.8197,positive
27479,0,0.829,0.171,0.9737,positive
11135,0.107,0.844,0.049,-0.3899,negative
42625,0,0.749,0.251,0.9545,positive
63979,0.124,0.754,0.122,-0.0247,negative
69443,0,1,0,0,negative
13796,0.042,0.814,0.144,0.9313,positive
17699,0,0.795,0.205,0.9628,positive
53942,0,0.747,0.253,0.9888,positive
23877,0.136,0.832,0.032,-0.8087,negative
44618,0.03,0.832,0.137,0.9247,negative
40033,0.063,0.861,0.076,-0.1623,neutral
11025,0,0.805,0.195,0.8302,positive
59077,0.08,0.766,0.154,0.8168,positive
36200,0.023,0.675,0.303,0.9616,positive
67704,0.079,0.859,0.062,0,positive
25033,0.07,0.664,0.267,0.9831,positive
51309,0.088,0.771,0.141,0.5816,neutral
24438,0.041,0.928,0.03,-0.0956,negative
35042,0,0.909,0.091,0.7184,negative
36375,0,1,0,0,positive
67828,0,0.498,0.502,0.9442,positive
46,0.058,0.805,0.138,0.4359,positive
15356,0.011,0.664,0.325,0.9902,positive
38494,0.022,0.769,0.209,0.936,positive
58721,0.016,0.829,0.155,0.8814,positive
46094,0.026,0.799,0.176,0.961,positive
45914,0.09,0.839,0.071,-0.1531,negative
59924,0.051,0.776,0.173,0.9697,positive
8380,0.089,0.728,0.184,0.4588,negative
25091,0.093,0.882,0.025,-0.6384,negative
48327,0.016,0.843,0.142,0.9496,neutral
10658,0.018,0.883,0.098,0.7886,neutral
21708,0.198,0.758,0.044,-0.9644,negative
